name,address,lat,lng
새금초등학교,경기도 파주시 금촌동 1018,37.7480758,126.7731682
저동초등학교,경기도 고양시 일산동구 정발산동 688,37.6678704,126.7742276
벽제초등학교,경기도 고양시 일산동구 사리현동 122-2,37.6958611,126.8435253
성석초등학교,경기도 고양시 일산동구 문봉동 203-6,37.7072274,126.8122184
백마초등학교,경기도 고양시 일산동구 마두동 718,37.6574752,126.7910808
어룡초등학교,경기도 의정부시 용현동 547-5,37.7477216,127.082246
두서초등학교,울산광역시 울주군 두서면 인보리 459-2,35.6428958,129.1583209
두동초등학교,울산광역시 울주군 두동면 구미리 650-1,35.654758,129.2022579
청량초등학교,울산광역시 울주군 청량면 덕하리 412-2,35.4866403,129.2972355
문수초등학교,울산광역시 울주군 청량면 율리 390,35.5191632,129.2405385
삼정초등학교,울산광역시 울주군 청량면 삼정리 786-1,35.4908353,129.2335528
검단초등학교,울산광역시 울주군 웅촌면 검단리 603-3,35.4576649,129.1775887
웅촌초등학교,울산광역시 울주군 웅촌면 곡천리 304,35.4641775,129.2072259
성동초등학교,울산광역시 울주군 서생면 서생리 387,35.3854334,129.3417183
명산초등학교,울산광역시 울주군 서생면 명산리 504,35.3509377,129.2957917
서생초등학교,울산광역시 울주군 서생면 신암리 223,35.3492421,129.3270707
삼동초등학교,울산광역시 울주군 삼동면 하잠리 953-2,35.5239153,129.15911
상북초등학교소호분교,울산광역시 울주군 상북면 소호리 376-3,35.6705174,129.0862809
곡정초등학교,경기도 수원시 권선구 권선동 1358,37.2408603,127.02569
선행초등학교,경기도 수원시 권선구 권선동 1331,37.2542509,127.0256718
수원중촌초등학교,경기도 수원시 권선구 금곡동 303-1,37.2724561,126.9443743
능실초등학교,경기도 수원시 권선구 호매실동 1012,37.2597345,126.9559537
광교초등학교,경기도 수원시 영통구 이의동 1208,37.3037928,127.0458393
이의초등학교,경기도 수원시 영통구 하동 993,37.2929807,127.0754579
수성초등학교,경기도 수원시 장안구 조원동 843,37.3055569,127.0140079
송원초등학교,경기도 수원시 장안구 조원동 872,37.3083092,127.0099383
한일초등학교,경기도 수원시 장안구 조원동 882,37.3069114,127.005405
효천초등학교,경기도 수원시 장안구 정자동 923,37.2932545,126.9866305
야탑초등학교,경기도 성남시 분당구 야탑동 333,37.4163135,127.1258841
덕도초등학교,경기도 양주시 광적면 석우리 525-14,37.8404432,126.9772642
봉암초등학교,경기도 양주시 은현면 봉암리 403-3,37.9105075,127.0058675
상패초등학교,경기도 양주시 은현면 하패리 796-4,37.8978836,127.026507
은현초등학교,경기도 양주시 은현면 선암리 553-2,37.8643435,127.0230776
상수초등학교,경기도 양주시 남면 상수리 443-2,37.8686306,126.987733
남면초등학교,경기도 양주시 남면 신산리 286-2,37.8940365,126.9750617
남면초등학교양덕분교장,경기도 양주시 남면 한산리 272-1,37.9086297,126.9986702
선단초등학교,경기도 포천시 선단동 765-1,37.8616424,127.1553556
포천초등학교,경기도 포천시 신읍동 133,37.8967586,127.1971839
안미초등학교,강원도 평창군 대화면 하안미리 1635,37.4600968,128.4344101
이곡초등학교,경기도 포천시 소흘읍 이곡리 197,37.7782698,127.1488568
추산초등학교,경기도 포천시 소흘읍 송우리 728-11,37.8257644,127.1367147
태봉초등학교,경기도 포천시 소흘읍 송우리 725-4,37.8345186,127.1448833
신봉초등학교,경기도 포천시 소흘읍 송우리 727-4,37.8318531,127.1388931
송우초등학교,경기도 포천시 소흘읍 송우리 214,37.8295161,127.1433847
축석초등학교,경기도 포천시 소흘읍 이동교리 645,37.7881923,127.1221079
유암초등학교,경기도 포천시 가산면 감암리 503-1,37.8684898,127.1926256
정교초등학교,경기도 포천시 가산면 정교리 549-2,37.8152429,127.1696832
가산초등학교,경기도 포천시 가산면 마산리 606-2,37.8479307,127.1850433
내촌초등학교,경기도 포천시 내촌면 내리 316-1,37.7868827,127.2300704
지현초등학교,경기도 포천시 화현면 지현리 279-6,37.9285908,127.2648387
화현초등학교,경기도 포천시 화현면 화현리 847-1,37.9018988,127.2846733
일동초등학교,경기도 포천시 일동면 기산리 281-1,37.9549201,127.3145087
운담초등학교,경기도 포천시 일동면 화대리 608-2,37.9719185,127.3295571
포천노곡초등학교,경기도 포천시 이동면 노곡리 846-6,38.0081356,127.3353887
마전초등학교,경기도 안성시 삼죽면 마전리 37-1,37.0306966,127.3413202
삼죽초등학교,경기도 안성시 삼죽면 덕산리 269,37.0759917,127.3737018
광선초등학교,경기도 안성시 죽산면 두교리 265-3,37.008057,127.4335311
죽산초등학교,경기도 안성시 죽산면 죽산리 405-2,37.0775743,127.4210266
일죽초등학교,경기도 안성시 일죽면 주천리 300,37.0921024,127.481942
방초초등학교,경기도 안성시 일죽면 방초리 459-2,37.1197988,127.4335344
죽화초등학교,경기도 안성시 일죽면 화곡리 730,37.1074878,127.4583336
고삼초등학교,경기도 안성시 고삼면 가유리 329-1,37.0825482,127.2645138
양성초등학교,경기도 안성시 양성면 동항리 408-1,37.0613816,127.1951381
미곡초등학교,경기도 안성시 양성면 노곡리 443,37.1104881,127.2451615
원곡초등학교성은분교장,경기도 안성시 원곡면 성은리 35-1,37.0770979,127.1600742
금광초등학교조령분교장,경기도 안성시 금광면 사흥리 631-2,37.0009596,127.3579576
보개초등학교가율분교장,경기도 안성시 보개면 이전리 347-2,37.0601739,127.2958626
세종초등학교,경기도 여주시 교동 121-7,37.2796966,127.6337573
연라초등학교,경기도 여주시 월송동 313-42,37.277869,127.6115737
점봉초등학교,경기도 여주시 점봉동 336,37.2569409,127.6448474
여흥초등학교,경기도 여주시 상동 108,37.2936942,127.643728
여주초등학교,경기도 여주시 창동 8,37.2985007,127.6359788
오학초등학교,경기도 여주시 오학동 105-1,37.3124123,127.6473969
매류초등학교,경기도 여주시 능서면 마래리 143,37.2736696,127.5574367
능북초등학교,경기도 여주시 능서면 백석리 442,37.3331316,127.5919594
능서초등학교,경기도 여주시 능서면 신지리 786-1,37.2979453,127.5720938
문장초등학교,경기도 여주시 흥천면 문장리 373-1,37.3607109,127.5122459
흥천초등학교,경기도 여주시 흥천면 효지리 377-3,37.3323515,127.5412161
이포초등학교,경기도 여주시 금사면 이포리 311-2,37.3886539,127.530078
송양초등학교,경기도 의정부시 낙양동 205,37.7528188,127.1117452
민락초등학교,경기도 의정부시 민락동 692-2,37.7418086,127.0947772
의정부부용초등학교,경기도 의정부시 민락동 756-6,37.7361653,127.0908863
금릉초등학교,경기도 파주시 금촌동 994,37.7523441,126.7729389
금신초등학교,경기도 파주시 금촌동 369-1,37.7670547,126.7718109
금향초등학교,경기도 파주시 금촌동 1007,37.7525118,126.7769419
검산초등학교,경기도 파주시 검산동 548-2,37.7761017,126.7394579
파주송화초등학교,경기도 파주시 아동동 277,37.7746351,126.7790524
금화초등학교,경기도 파주시 금촌동 974,37.755104,126.7680251
금촌초등학교,경기도 파주시 금촌동 929-1,37.7617985,126.7697527
동패초등학교,경기도 파주시 동패동 1795,37.7173897,126.74001
석곶초등학교,경기도 파주시 동패동 1700,37.7250555,126.7222525
문발초등학교,경기도 파주시 문발동 555,37.725698,126.7067917
지산초등학교,경기도 파주시 와동동 1339-5,37.7313601,126.7617476
한가람초등학교,경기도 파주시 와동동 1318,37.7318838,126.7558625
한빛초등학교,경기도 파주시 야당동 983,37.71465,126.7509672
덕암초등학교,경기도 파주시 조리읍 뇌조리 457-1,37.7647407,126.8196307
능안초등학교,경기도 파주시 조리읍 능안리 53-6,37.740584,126.7928293
파주대원초등학교,경기도 파주시 조리읍 대원리 203,37.7272467,126.8192952
봉일천초등학교,경기도 파주시 조리읍 봉일천리 191-6,37.7450284,126.8072467
교하초등학교,경기도 파주시 교하동 337,37.7538678,126.747313
청석초등학교,경기도 파주시 다율동 983,37.731051,126.7192795
청암초등학교,경기도 파주시 목동동 868,37.730981,126.7378741
가산초등학교,강원도 춘천시 동면 지내리 136-2,37.908693,127.782582
이매초등학교,경기도 성남시 분당구 이매동 112,37.3967336,127.1259418
성남장안초등학교,경기도 성남시 분당구 분당동 91,37.372132,127.1441451
한솔초등학교,경기도 성남시 분당구 정자동 113,37.3666226,127.1178573
늘푸른초등학교,경기도 성남시 분당구 정자동 178-5,37.3579592,127.1053044
중탑초등학교,경기도 성남시 분당구 야탑동 212,37.4136197,127.1394714
돌마초등학교,경기도 성남시 분당구 야탑동 515,37.4089552,127.1300247
하탑초등학교,경기도 성남시 분당구 야탑동 531,37.4070081,127.1262519
내정초등학교,경기도 성남시 분당구 수내동 57,37.372818,127.1221656
성남정자초등학교,경기도 성남시 분당구 정자동 6-2,37.3738436,127.1050822
수내초등학교,경기도 성남시 분당구 수내동 81,37.3675173,127.124282
심곡초등학교,경기도 부천시 원미구 심곡동 300,37.4918232,126.7763896
중동초등학교,경기도 부천시 원미구 중동 1290,37.4899545,126.7693697
심원초등학교,경기도 부천시 원미구 중동 1097,37.4995506,126.7817416
상인초등학교,경기도 부천시 원미구 상동 500-3,37.5127749,126.7564686
석천초등학교,경기도 부천시 원미구 상동 525-4,37.5105113,126.7523544
상일초등학교,경기도 부천시 원미구 상동 550-5,37.5017051,126.7504878
상미초등학교,경기도 부천시 원미구 상동 588-7,37.4947121,126.7445653
상원초등학교,경기도 부천시 원미구 상동 570-7,37.498182,126.7534442
부천역곡초등학교,경기도 부천시 원미구 역곡동 178-17,37.4907267,126.8077634
도당초등학교,경기도 부천시 원미구 도당동 106,37.519396,126.7918866
부천신흥초등학교,경기도 부천시 원미구 도당동 265-2,37.506797,126.7846375
상동초등학교,경기도 부천시 원미구 상동 391-1,37.4967327,126.7501495
매화초등학교,경기도 안산시 상록구 이동 608,37.3059109,126.8626541
이천초등학교,경기도 이천시 창전동 421-21,37.2837456,127.4423028
이천가산초등학교,경기도 이천시 부발읍 가산리 305-1,37.2419248,127.5184655
부발초등학교,경기도 이천시 부발읍 무촌리 195-5,37.2866395,127.488611
신하초등학교,경기도 이천시 부발읍 신하리 374-2,37.260806,127.4785822
아미초등학교,경기도 이천시 부발읍 아미리 761-6,37.2583354,127.4906958
장호원초등학교,경기도 이천시 장호원읍 장호원리 104,37.1158246,127.6275122
대서초등학교,경기도 이천시 장호원읍 대서리 14-1,37.11321,127.5759676
이황초등학교,경기도 이천시 장호원읍 이황리 159,37.1454031,127.587462
표교초등학교,경기도 이천시 마장면 목리 228,37.2566148,127.4055257
마장초등학교,경기도 이천시 마장면 오천리 71,37.2467554,127.3585655
이천매곡초등학교,경기도 이천시 호법면 매곡리 188-1,37.2146196,127.3942044
호법초등학교,경기도 이천시 호법면 후안리 295,37.2240568,127.4273938
백사초등학교,경기도 이천시 백사면 현방리 93,37.3386028,127.4898624
도지초등학교,경기도 이천시 백사면 도지리 410,37.308134,127.4830735
도암초등학교,경기도 이천시 신둔면 도암리 358,37.3181314,127.4421961
신둔초등학교,경기도 이천시 신둔면 수광리 262-1,37.310022,127.4034143
이천사동초등학교,경기도 이천시 대월면 사동리 518,37.2420101,127.4871986
대월초등학교,경기도 이천시 대월면 초지리 426-1,37.2234179,127.4929922
진가초등학교,경기도 이천시 모가면 진가리 156,37.1743741,127.4794454
송곡초등학교,경기도 이천시 모가면 송곡리 295-2,37.1520996,127.4839095
설성초등학교,경기도 이천시 설성면 행죽리 78-1,37.1099399,127.5375502
장천초등학교,경기도 이천시 설성면 장천리 360-1,37.1455163,127.5282387
율면초등학교,경기도 이천시 율면 고당리 545,37.087855,127.5427682
퇴계원초등학교,경기도 남양주시 퇴계원면 퇴계원리 271-6,37.653515,127.1416334
도제원초등학교,경기도 남양주시 퇴계원면 퇴계원리 189,37.645787,127.1457677
수동초등학교,경기도 남양주시 수동면 입석리 458-1,37.7118112,127.3231467
조안초등학교,경기도 남양주시 조안면 조안리 47,37.5466064,127.3004788
남양주송촌초등학교,경기도 남양주시 조안면 송촌리 692,37.5673924,127.3187364
수동초등학교송천분교장,경기도 남양주시 수동면 송천리 332,37.6948917,127.3342585
